"Protein ID";"m";"stat";"p"
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000200135"";""ENSP00000200135"")";94;27,4939176464411;0,0646
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000200453"";""ENSP00000200453"")";44;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000200652"";""ENSP00000200652"")";130;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000200691"";""ENSP00000200691"")";81;55,8966009992715;0,0207
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000201031"";""ENSP00000201031"")";83;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000201979"";""ENSP00000201979"")";107;7,19809637120761;0,2788
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000202017"";""ENSP00000202017"")";34;6,41777777777778;0,1558
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000202967"";""ENSP00000202967"")";74;10,4152892561983;0,1382
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000203629"";""ENSP00000203629"")";25;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000205194"";""ENSP00000205194"")";82;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000205636"";""ENSP00000205636"")";150;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000206020"";""ENSP00000206020"")";91;7,3542085607584;0,2441
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000206513"";""ENSP00000206513"")";56;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000209540"";""ENSP00000209540"")";109;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000209668"";""ENSP00000209668"")";49;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000211314"";""ENSP00000211314"")";58;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000214869"";""ENSP00000214869"")";56;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215057"";""ENSP00000215057"")";60;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215061"";""ENSP00000215061"")";79;7,11111111111111;0,2341
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215368"";""ENSP00000215368"")";57;9,33641975308642;0,1221
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215375"";""ENSP00000215375"")";39;8,50694444444445;0,1038
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215531"";""ENSP00000215531"")";57;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215565"";""ENSP00000215565"")";65;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215570"";""ENSP00000215570"")";67;6,67361111111111;0,2407
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215574"";""ENSP00000215574"")";143;7,84;0,2983
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215582"";""ENSP00000215582"")";142;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215631"";""ENSP00000215631"")";83;9;0,1673
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215754"";""ENSP00000215754"")";53;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215770"";""ENSP00000215770"")";55;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215781"";""ENSP00000215781"")";41;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215838"";""ENSP00000215838"")";91;146,185128222147;0,0061
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215885"";""ENSP00000215885"")";50;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215886"";""ENSP00000215886"")";98;7,96045918367347;0,2219
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215904"";""ENSP00000215904"")";72;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000215906"";""ENSP00000215906"")";103;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216034"";""ENSP00000216034"")";58;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216115"";""ENSP00000216115"")";124;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216127"";""ENSP00000216127"")";141;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000216144"";""ENSP00000216144"")";49;0;1
