"GO ID";"m";"stat";"p"
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000722"";""GO:0000722"")";2017;93,905016174631;0,4311
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000723"";""GO:0000723"")";6156;256,216675914934;0,5975
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000724"";""GO:0000724"")";14319;1058,85462207935;0,3477
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000727"";""GO:0000727"")";1164;455,154862417457;0,0297
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000731"";""GO:0000731"")";1592;52,3531543056795;0,5474
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000737"";""GO:0000737"")";734;49,5878810835629;0,2802
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000902"";""GO:0000902"")";21043;1368,07583287784;0,4548
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000956"";""GO:0000956"")";2631;212,303990047973;0,2707
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001188"";""GO:0001188"")";1219;30,072173118155;0,6036
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001501"";""GO:0001501"")";22260;3371,9207191338;0,0768
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001502"";""GO:0001502"")";5478;722,874249003637;0,1296
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001503"";""GO:0001503"")";14061;881,247986988381;0,4517
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001504"";""GO:0001504"")";1686;76,7819755322449;0,4345
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001508"";""GO:0001508"")";6757;147,17295236293;0,8768
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001510"";""GO:0001510"")";1987;102,663563571808;0,4007
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001516"";""GO:0001516"")";2382;362,545418231474;0,1061
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001523"";""GO:0001523"")";4158;202,601377947062;0,4833
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001525"";""GO:0001525"")";41639;4120,94844809323;0,2165
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001541"";""GO:0001541"")";5632;424,313175408445;0,3046
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001556"";""GO:0001556"")";3488;266,162792793799;0,2859
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001558"";""GO:0001558"")";17521;2782,29430663076;0,0674
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001568"";""GO:0001568"")";6546;486,772572677969;0,3153
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001569"";""GO:0001569"")";4765;568,347744762828;0,1526
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001570"";""GO:0001570"")";10534;647,896037532372;0,4448
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001574"";""GO:0001574"")";3422;86,8079836303536;0,7278
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001578"";""GO:0001578"")";6788;869,635354247244;0,1283
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001580"";""GO:0001580"")";2643;70,1929949681109;0,6724
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001649"";""GO:0001649"")";21801;1464,94098301388;0,4374
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001654"";""GO:0001654"")";9994;1143,28525401066;0,1573
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001655"";""GO:0001655"")";1888;187,46584204693;0,2021
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001656"";""GO:0001656"")";6163;560,84724214242;0,23
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001657"";""GO:0001657"")";7423;546,525789188796;0,3283
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001658"";""GO:0001658"")";7557;542,975366976315;0,3374
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001659"";""GO:0001659"")";3758;3058,22294882682;0,0081
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001662"";""GO:0001662"")";4067;393,091170705253;0,2132
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001666"";""GO:0001666"")";26677;2418,82757152652;0,265
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001675"";""GO:0001675"")";2272;145,313906049916;0,3291
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001676"";""GO:0001676"")";3562;503,159982082998;0,1158
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001678"";""GO:0001678"")";3371;905,090123669472;0,0459
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001682"";""GO:0001682"")";1746;103,555815192741;0,3497
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001701"";""GO:0001701"")";36297;3438,24235984403;0,2405
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001702"";""GO:0001702"")";4278;276,871135862215;0,3691
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001706"";""GO:0001706"")";1207;196,371296625513;0,1001
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001707"";""GO:0001707"")";5380;281,767752162697;0,4712
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001708"";""GO:0001708"")";3804;152,894380053592;0,5639
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001709"";""GO:0001709"")";3610;819,41726996866;0,0598
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001714"";""GO:0001714"")";589;200,791173767935;0,0395
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001731"";""GO:0001731"")";733;51,105725248546;0,27
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001732"";""GO:0001732"")";1229;168,441112883088;0,1253
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001736"";""GO:0001736"")";2251;111,995640537469;0,4206
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001755"";""GO:0001755"")";11969;1185,26937376601;0,2039
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001756"";""GO:0001756"")";6434;492,399799581077;0,3063
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001763"";""GO:0001763"")";1376;407,257677811971;0,0408
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001764"";""GO:0001764"")";32865;3215,54991070716;0,2197
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001765"";""GO:0001765"")";1136;49,4772475042233;0,4155
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001768"";""GO:0001768"")";2037;233,305488451107;0,1573
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001771"";""GO:0001771"")";4775;352,071420129226;0,3079
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001774"";""GO:0001774"")";4250;589,92479230971;0,1169
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001775"";""GO:0001775"")";2499;377,200097032073;0,1074
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001778"";""GO:0001778"")";2132;237,11790352276;0,1667
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001779"";""GO:0001779"")";3548;279,863744601468;0,2866
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001782"";""GO:0001782"")";3634;328,982352944591;0,2259
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001817"";""GO:0001817"")";5115;1309,87856692819;0,0464
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001818"";""GO:0001818"")";5123;435,955918764641;0,2583
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001819"";""GO:0001819"")";7246;990,389322079111;0,1173
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001822"";""GO:0001822"")";21339;2910,18461988668;0,1043
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001823"";""GO:0001823"")";1879;123,584914087199;0,3281
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001824"";""GO:0001824"")";2034;281,680760025062;0,1246
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001825"";""GO:0001825"")";1855;125,951460512262;0,3032
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001829"";""GO:0001829"")";2192;71,444654338429;0,5688
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001833"";""GO:0001833"")";1806;297,659742345037;0,0944
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001835"";""GO:0001835"")";3828;516,345969674789;0,1269
